trial,pooled_cv,foldmean_cv,fold_2023,fold_2024,fold_2025,fold_2026,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,min_data_in_leaf,best_iteration
17,104.255,105.561,95.146,83.678,126.351,117.069,6,0.0577,4.438,1.175,0.429,40,590
12,104.301,105.498,94.666,84.766,127.77,114.791,6,0.0624,9.15,0.171,0.366,60,534
28,104.398,105.717,94.526,83.673,127.706,116.963,6,0.0413,2.766,1.565,0.239,58,653
38,104.477,105.727,95.379,83.364,128.618,115.545,5,0.0408,6.607,3.771,0.08,19,815
36,104.622,105.884,94.611,84.23,128.776,115.922,6,0.0335,8.132,0.633,0.076,18,772
3,104.658,105.925,94.39,84.369,128.953,115.988,6,0.027,4.091,1.395,0.292,37,955
2,104.708,105.925,96.527,83.736,127.778,115.658,5,0.068,1.52,1.834,0.304,53,467
21,104.73,105.997,95.355,84.15,128.067,116.416,6,0.0318,3.361,1.559,0.287,38,872
5,104.775,106.039,95.074,83.552,129.761,115.77,5,0.0405,1.162,9.489,0.966,81,874
25,104.795,106.078,95.015,84.184,128.503,116.61,6,0.0613,9.913,2.362,0.39,32,492
20,104.802,106.002,94.617,86.598,126.896,115.896,8,0.0458,4.17,2.586,0.436,80,648
24,104.842,106.083,95.523,84.094,128.909,115.806,7,0.027,3.393,1.274,0.549,60,823
23,104.853,106.122,95.356,83.812,129.123,116.196,5,0.0485,4.381,0.027,0.379,41,623
37,104.887,106.17,95.246,84.74,127.602,117.092,7,0.0342,8.163,0.48,0.012,11,806
31,104.907,106.189,94.77,84.395,129.068,116.522,6,0.0228,4.872,1.641,0.177,58,983
34,104.92,106.225,95.288,83.708,128.94,116.963,6,0.0299,2.746,2.072,0.267,54,823
22,104.957,106.155,95.724,85.143,128.213,115.539,6,0.0723,2.382,1.016,0.237,18,386
32,104.968,106.254,94.844,84.604,128.769,116.801,6,0.0446,4.083,0.642,0.412,26,576
18,104.989,106.291,94.274,84.338,129.878,116.676,4,0.0606,7.655,3.257,0.483,60,689
8,105.043,106.344,94.945,84.6,128.627,117.203,5,0.0352,9.324,7.751,0.939,90,963
39,105.193,106.489,94.674,84.877,129.369,117.035,5,0.0503,7.169,5.548,0.119,1,694
35,105.263,106.512,95.459,84.633,129.746,116.212,5,0.025,5.812,1.369,0.348,45,990
30,105.275,106.52,94.733,85.536,129.565,116.245,5,0.0584,2.929,4.146,0.227,60,447
33,105.333,106.489,96.245,85.382,129.423,114.907,7,0.0676,3.718,1.708,0.484,37,409
29,105.344,106.673,95.362,84.0,129.662,117.669,4,0.0365,2.028,2.816,0.113,76,935
15,105.468,106.636,96.843,85.394,128.776,115.53,8,0.0538,3.269,0.963,0.736,67,523
13,105.468,106.718,96.13,84.678,129.437,116.627,7,0.0535,8.703,0.07,0.469,68,520
27,105.561,106.772,95.624,85.748,129.702,116.013,7,0.0854,5.233,0.647,0.324,47,408
19,105.591,106.852,95.24,86.857,127.592,117.717,8,0.0949,5.922,0.806,0.764,45,278
11,105.606,106.928,95.118,85.927,128.108,118.562,7,0.0775,2.394,2.43,0.383,41,380
10,105.676,106.834,97.2,85.786,128.638,115.713,7,0.0896,2.691,0.18,0.652,70,297
16,105.796,107.126,95.41,84.552,130.583,117.959,6,0.0196,7.147,3.185,0.217,23,993
4,106.182,107.341,96.47,86.622,130.59,115.681,9,0.0286,1.584,5.142,0.592,5,817
0,106.815,108.071,96.601,86.715,130.945,118.023,10,0.0237,5.395,5.987,0.156,16,966
6,107.472,108.837,96.002,86.341,133.121,119.883,4,0.0202,4.833,4.402,0.122,50,996
14,107.478,108.804,96.753,86.082,133.141,119.241,6,0.0153,6.204,3.428,0.564,28,998
9,108.497,109.772,98.75,87.564,132.849,119.925,10,0.0396,1.226,1.96,0.045,33,550
26,109.741,111.099,97.681,88.918,135.966,121.832,5,0.0138,6.808,4.321,0.163,10,998
1,113.28,114.689,100.892,91.612,140.379,125.875,10,0.0114,3.991,7.081,0.021,97,999
7,113.711,115.204,100.791,91.482,140.887,127.657,10,0.0108,1.815,6.625,0.312,53,999
