iter	RMSE
0	14.51223839
1	14.23997811
2	13.98777761
3	13.73977003
4	13.49310201
5	13.26000974
6	13.05603796
7	12.85260998
8	12.66649834
9	12.50398531
10	12.34969396
11	12.19949559
12	12.06164954
13	11.92941716
14	11.79359909
15	11.67217965
16	11.55608131
17	11.45237996
18	11.34994784
19	11.25355026
20	11.16840101
21	11.08228092
22	11.00642697
23	10.93603468
24	10.8585408
25	10.79215441
26	10.73093991
27	10.66505714
28	10.6061844
29	10.54756467
30	10.49284679
31	10.4449402
32	10.39151218
33	10.34309398
34	10.29660844
35	10.25611204
36	10.21571272
37	10.17951895
38	10.1388651
39	10.10214075
40	10.06549243
41	10.03253977
42	9.998518963
43	9.968058416
44	9.93728845
45	9.911149225
46	9.881313742
47	9.852455798
48	9.824066918
49	9.799736562
50	9.773502969
51	9.748270028
52	9.723040606
53	9.698693297
54	9.674073551
55	9.652787827
56	9.631768264
57	9.612971437
58	9.594704898
59	9.571852495
60	9.555356406
61	9.53949795
62	9.524278867
63	9.50557533
64	9.487003969
65	9.471367938
66	9.454701249
67	9.441037552
68	9.424908052
69	9.410435853
70	9.396083407
71	9.382921823
72	9.36682918
73	9.35287339
74	9.340099915
75	9.325214705
76	9.312449549
77	9.297701566
78	9.283807085
79	9.270273875
80	9.258257426
81	9.244061732
82	9.23230717
83	9.222024042
84	9.210647032
85	9.199241187
86	9.189424032
87	9.177609694
88	9.16548484
89	9.154604103
90	9.143373005
91	9.133251166
92	9.122156243
93	9.115224393
94	9.106439828
95	9.095294468
96	9.084252402
97	9.073733042
98	9.063260713
99	9.052214126
100	9.039925197
101	9.029531404
102	9.01974458
103	9.01201449
104	9.003379246
105	8.993915574
106	8.982566814
107	8.975430323
108	8.968214831
109	8.957260044
110	8.947557026
111	8.939865293
112	8.930814505
113	8.923232882
114	8.915277452
115	8.907899874
116	8.900793934
117	8.891769545
118	8.886138464
119	8.878329716
120	8.870963137
121	8.861251362
122	8.855788131
123	8.846874959
124	8.839362968
125	8.831123059
126	8.820689637
127	8.814493642
128	8.805351931
129	8.796894122
130	8.790738385
131	8.784381744
132	8.777842323
133	8.770589413
134	8.763114467
135	8.756818667
136	8.750512326
137	8.743337627
138	8.736954837
139	8.729253134
140	8.72007102
141	8.714536676
142	8.708217227
143	8.700637965
144	8.693089292
145	8.687747615
146	8.681317753
147	8.676128302
148	8.670333207
149	8.66454332
150	8.659694046
151	8.653598158
152	8.647853454
153	8.641410618
154	8.633484379
155	8.624626107
156	8.617416819
157	8.609304218
158	8.603293354
159	8.598156453
160	8.590916324
161	8.585646626
162	8.577423458
163	8.570583124
164	8.563721816
165	8.556794009
166	8.550013245
167	8.544807721
168	8.537838537
169	8.530707529
170	8.525824941
171	8.519871847
172	8.516030833
173	8.510251628
174	8.505424583
175	8.499262624
176	8.493798295
177	8.487474698
178	8.48220794
179	8.476785691
180	8.471986426
181	8.467123462
182	8.461170845
183	8.455124702
184	8.447878993
185	8.44157419
186	8.43474051
187	8.43022627
188	8.42470843
189	8.420809083
190	8.416534064
191	8.406928486
192	8.401356216
193	8.397065447
194	8.391333241
195	8.385951117
196	8.381245402
197	8.37655107
198	8.369770279
199	8.367150457
200	8.361321788
201	8.355331375
202	8.350424942
203	8.346762089
204	8.342779774
205	8.33899726
206	8.331588859
207	8.326792996
208	8.319915002
209	8.314163645
210	8.308191778
211	8.303988008
212	8.298198387
213	8.293135728
214	8.288382581
215	8.284891931
216	8.278128435
217	8.273573218
218	8.267710557
219	8.260550333
220	8.255520403
221	8.250018533
222	8.245919594
223	8.238298471
224	8.234447119
225	8.231505642
226	8.231172803
227	8.226638137
228	8.220864193
229	8.21677074
230	8.209837339
231	8.205574285
232	8.201894284
233	8.195794364
234	8.191446494
235	8.184270461
236	8.177680268
237	8.171762512
238	8.166622215
239	8.160541863
240	8.153537773
241	8.149365766
242	8.144744428
243	8.140031678
244	8.132808915
245	8.127986389
246	8.127435616
247	8.122768595
248	8.116727158
249	8.113486597
250	8.109737358
251	8.106060024
252	8.099882552
253	8.096390084
254	8.091379003
255	8.088802691
256	8.085998073
257	8.081956117
258	8.076757361
259	8.070047673
260	8.065776734
261	8.061210828
262	8.056231173
263	8.05231367
264	8.049638694
265	8.043418768
266	8.03807187
267	8.033327491
268	8.030829357
269	8.028273273
270	8.025923367
271	8.021794824
272	8.019085418
273	8.014154682
274	8.01368726
275	8.009249933
276	8.005668559
277	8.00016673
278	7.996747202
279	7.993088123
280	7.987104388
281	7.982663398
282	7.978503741
283	7.972972449
284	7.968156005
285	7.964357949
286	7.959733655
287	7.956009919
288	7.950255941
289	7.945622872
290	7.942864773
291	7.938199401
292	7.93606127
293	7.933325584
294	7.928280636
295	7.925881571
296	7.92253116
297	7.918597745
298	7.915734384
299	7.911050316
300	7.909604022
301	7.902580581
302	7.897825064
303	7.893068985
304	7.891223988
305	7.88778272
306	7.885098999
307	7.879964271
308	7.875686687
309	7.87173516
310	7.868744402
311	7.864451657
312	7.860344825
313	7.856591019
314	7.851671807
315	7.849458107
316	7.844658918
317	7.840344316
318	7.836541684
319	7.833014445
320	7.829983203
321	7.826475081
322	7.822829985
323	7.82164874
324	7.818723163
325	7.815165252
326	7.811156485
327	7.808860079
328	7.807152823
329	7.804534843
330	7.800316323
331	7.796957581
332	7.793378269
333	7.789507727
334	7.789248004
335	7.786036636
336	7.782763221
337	7.779974418
338	7.773846176
339	7.771549743
340	7.767019607
341	7.763847847
342	7.759762833
343	7.759489876
344	7.756646515
345	7.753244418
346	7.750382076
347	7.748797358
348	7.746779226
349	7.744079027
350	7.739826714
351	7.733913403
352	7.731035808
353	7.72654495
354	7.724572492
355	7.721552883
356	7.717902306
357	7.713868372
358	7.71302826
359	7.709215685
360	7.705430171
361	7.702060951
362	7.700734351
363	7.697258118
364	7.69316925
365	7.687922379
366	7.684925998
367	7.679082079
368	7.67804211
369	7.67437057
370	7.671242128
371	7.666955508
372	7.664866859
373	7.661657452
374	7.659540537
375	7.656704778
376	7.654235556
377	7.648738758
378	7.645914236
379	7.642887034
380	7.638530841
381	7.634316146
382	7.630683718
383	7.628220836
384	7.623915087
385	7.621395131
386	7.616795523
387	7.611726397
388	7.607616046
389	7.604332293
390	7.600390561
391	7.597702209
392	7.59346453
393	7.589673928
394	7.586688956
395	7.583509164
396	7.581256282
397	7.579976334
398	7.578677941
399	7.5750426
400	7.57190497
401	7.568647436
402	7.564525852
403	7.560107094
404	7.557637302
405	7.553977663
406	7.549832435
407	7.545889458
408	7.543352635
409	7.538183177
410	7.535139864
411	7.531196219
412	7.527696791
413	7.526949142
414	7.522365363
415	7.519408954
416	7.516547985
417	7.515242689
418	7.512557404
419	7.507961937
420	7.505092257
421	7.502627674
422	7.502457428
423	7.500671046
424	7.497737346
425	7.497590999
426	7.494291564
427	7.490146867
428	7.486789681
429	7.483261254
430	7.479589799
431	7.477280656
432	7.476464677
433	7.474922976
434	7.471269878
435	7.468528296
436	7.464321348
437	7.463169251
438	7.461102049
439	7.456970391
440	7.453902612
441	7.450543398
442	7.450401541
443	7.447904089
444	7.446845049
445	7.444563496
446	7.44073947
447	7.436959956
448	7.432888135
449	7.428446169
450	7.423919409
451	7.420616345
452	7.416069193
453	7.412143798
454	7.408267589
455	7.406907931
456	7.404517012
457	7.400243376
458	7.396647771
459	7.39445232
460	7.39198133
461	7.390176836
462	7.386131207
463	7.385096224
464	7.382011571
465	7.378138286
466	7.375196039
467	7.372791688
468	7.367212159
469	7.36411215
470	7.361704058
471	7.358315864
472	7.354358238
473	7.351431855
474	7.348203672
475	7.346225489
476	7.343878092
477	7.340619923
478	7.338096801
479	7.335977277
480	7.331871355
481	7.328288787
482	7.32547093
483	7.322999738
484	7.319681306
485	7.314891998
486	7.312347883
