iter	Passed	Remaining
0	4	4706
1	9	4907
2	15	5029
3	19	4787
4	23	4593
5	27	4581
6	33	4728
7	38	4734
8	42	4658
9	47	4704
10	52	4685
11	56	4639
12	60	4561
13	65	4609
14	69	4591
15	74	4562
16	79	4585
17	83	4565
18	87	4508
19	91	4481
20	97	4538
21	101	4507
22	106	4513
23	110	4512
24	116	4525
25	120	4507
26	124	4494
27	129	4507
28	134	4499
29	138	4493
30	142	4468
31	147	4470
32	152	4455
33	156	4449
34	161	4440
35	165	4426
36	169	4403
37	173	4387
38	178	4403
39	182	4384
40	187	4382
41	191	4362
42	196	4370
43	201	4372
44	205	4363
45	210	4367
46	215	4374
47	220	4364
48	224	4365
49	230	4374
50	234	4364
51	239	4362
52	243	4359
53	248	4354
54	253	4347
55	257	4345
56	262	4340
57	266	4323
58	270	4316
59	275	4316
60	279	4307
61	285	4319
62	289	4301
63	294	4309
64	299	4305
65	303	4296
66	308	4299
67	313	4299
68	316	4276
69	321	4272
70	327	4279
71	331	4275
72	335	4260
73	340	4259
74	344	4251
75	349	4251
76	353	4240
77	358	4241
78	363	4242
79	368	4234
80	373	4237
81	377	4231
82	381	4219
83	386	4210
84	391	4210
85	395	4205
86	399	4195
87	403	4182
88	408	4186
89	413	4178
90	417	4173
91	422	4171
92	427	4173
93	432	4172
94	437	4171
95	443	4172
96	447	4161
97	451	4159
98	456	4156
99	461	4150
100	465	4147
101	471	4152
102	475	4145
103	480	4136
104	485	4135
105	491	4141
106	495	4133
107	499	4122
108	504	4124
109	509	4121
110	513	4109
111	516	4097
112	521	4093
113	525	4086
114	529	4078
115	534	4076
116	540	4076
117	544	4071
118	548	4062
119	554	4066
120	559	4064
121	563	4057
122	568	4055
123	573	4048
124	577	4043
125	581	4031
126	586	4032
127	591	4028
128	595	4023
129	599	4014
130	605	4015
131	610	4012
132	614	4007
133	619	4003
134	622	3987
135	626	3981
136	630	3972
137	635	3968
138	639	3961
139	643	3953
140	647	3945
141	653	3945
142	657	3939
143	661	3933
144	667	3933
145	671	3930
146	676	3926
147	681	3921
148	687	3925
149	691	3920
150	695	3912
151	702	3917
152	707	3913
153	710	3905
154	714	3896
155	719	3894
156	723	3887
157	728	3881
158	734	3884
159	738	3878
160	743	3876
161	749	3876
162	753	3871
163	758	3867
164	763	3862
165	768	3858
166	772	3854
167	777	3849
168	782	3849
169	787	3845
170	791	3837
171	795	3831
172	800	3826
173	804	3820
174	809	3817
175	814	3814
176	819	3811
177	824	3805
178	828	3800
179	832	3793
180	836	3787
181	841	3783
182	847	3782
183	852	3780
184	857	3777
185	862	3775
186	867	3769
187	871	3763
188	875	3757
189	880	3755
190	885	3751
191	890	3747
192	894	3741
193	900	3739
194	904	3733
195	908	3727
196	914	3726
197	917	3718
198	922	3711
199	926	3706
200	931	3701
201	936	3700
202	941	3694
203	946	3692
204	950	3688
205	955	3682
206	959	3677
207	964	3672
208	968	3665
209	973	3660
210	978	3657
211	982	3652
212	986	3646
213	991	3641
214	997	3641
215	1001	3633
216	1005	3628
217	1010	3626
218	1016	3623
219	1019	3616
220	1023	3608
221	1028	3605
222	1033	3601
223	1037	3593
224	1041	3587
225	1046	3585
226	1051	3579
227	1055	3572
228	1060	3569
229	1064	3564
230	1069	3560
231	1073	3552
232	1078	3549
233	1081	3541
234	1086	3537
235	1092	3535
236	1096	3530
237	1100	3524
238	1104	3516
239	1109	3513
240	1114	3508
241	1118	3502
242	1123	3499
243	1128	3496
244	1132	3490
245	1136	3483
246	1141	3481
247	1146	3476
248	1150	3469
249	1153	3460
250	1158	3458
251	1162	3451
252	1167	3446
253	1170	3439
254	1175	3435
255	1180	3430
256	1184	3424
257	1189	3419
258	1194	3416
259	1198	3409
260	1201	3403
261	1207	3401
262	1212	3397
263	1217	3394
264	1222	3390
265	1227	3385
266	1231	3379
267	1236	3376
268	1241	3373
269	1246	3368
270	1250	3363
271	1255	3361
272	1260	3357
273	1264	3351
274	1271	3351
275	1275	3346
276	1281	3344
277	1286	3340
278	1292	3339
279	1297	3336
280	1302	3331
281	1308	3331
282	1313	3326
283	1318	3323
284	1324	3323
285	1330	3320
286	1334	3316
287	1340	3314
288	1345	3309
289	1350	3307
290	1357	3307
291	1363	3305
292	1369	3303
293	1374	3300
294	1378	3295
295	1383	3289
296	1389	3287
297	1394	3284
298	1399	3280
299	1404	3276
300	1409	3272
301	1413	3267
302	1418	3262
303	1424	3261
304	1429	3258
305	1436	3257
306	1441	3253
307	1446	3249
308	1451	3244
309	1456	3241
310	1460	3236
311	1465	3231
312	1471	3230
313	1477	3227
314	1483	3225
315	1488	3221
316	1493	3218
317	1499	3216
318	1505	3213
319	1511	3211
320	1516	3207
321	1521	3204
322	1526	3198
323	1530	3193
324	1536	3190
325	1540	3185
326	1545	3181
327	1552	3181
328	1558	3178
329	1564	3176
330	1569	3172
331	1574	3168
332	1580	3164
333	1585	3161
334	1590	3158
335	1595	3152
336	1600	3148
337	1605	3143
338	1609	3138
339	1617	3138
340	1621	3133
341	1625	3127
342	1630	3123
343	1635	3119
344	1639	3112
345	1643	3106
346	1649	3104
347	1653	3097
348	1657	3092
349	1662	3087
350	1667	3083
351	1671	3076
352	1675	3070
353	1680	3066
354	1685	3061
355	1689	3055
356	1693	3049
357	1699	3047
358	1703	3041
359	1708	3037
360	1715	3035
361	1719	3029
362	1723	3024
363	1730	3022
364	1735	3018
365	1739	3013
366	1744	3008
367	1749	3004
368	1754	2999
369	1758	2994
370	1764	2991
371	1769	2986
372	1772	2980
373	1778	2977
374	1783	2972
375	1788	2968
376	1793	2963
377	1798	2959
378	1803	2954
379	1807	2949
380	1811	2943
381	1816	2939
382	1821	2933
383	1825	2928
384	1830	2923
385	1834	2918
386	1839	2913
387	1844	2908
388	1848	2903
389	1853	2899
390	1857	2893
391	1863	2889
392	1866	2883
393	1870	2876
